[2026-09-10 16:43:52] PID:8117 PPID:8103 STATE:SN ELAPSED:00:00 THREADS:1 PROC_CPU:4.2% PROC_MEM:0.1% RSS:18228KB SYS_CPU:0.0% SYS_MEM:3.7% DISK_USED:1% PORT:15034 FIREWALL:active CMD:/workspace/bin/agent-leak-app-x86
[2026-09-10 16:43:53] PID:8117 PPID:8103 STATE:SN ELAPSED:00:02 THREADS:1 PROC_CPU:3.1% PROC_MEM:0.2% RSS:43832KB SYS_CPU:0.0% SYS_MEM:3.9% DISK_USED:1% PORT:15034 FIREWALL:active CMD:/workspace/bin/agent-leak-app-x86
[2026-09-10 16:43:54] PID:8117 PPID:8103 STATE:SN ELAPSED:00:03 THREADS:1 PROC_CPU:2.0% PROC_MEM:0.2% RSS:43832KB SYS_CPU:0.0% SYS_MEM:3.9% DISK_USED:1% PORT:15034 FIREWALL:active CMD:/workspace/bin/agent-leak-app-x86
[2026-09-10 16:43:55] PID:8117 PPID:8103 STATE:SN ELAPSED:00:04 THREADS:1 PROC_CPU:1.4% PROC_MEM:0.2% RSS:43832KB SYS_CPU:1.6% SYS_MEM:3.9% DISK_USED:1% PORT:15034 FIREWALL:active CMD:/workspace/bin/agent-leak-app-x86
[2026-09-10 16:43:57] PID:8117 PPID:8103 STATE:SN ELAPSED:00:05 THREADS:1 PROC_CPU:2.0% PROC_MEM:0.4% RSS:69436KB SYS_CPU:0.0% SYS_MEM:4.1% DISK_USED:1% PORT:15034 FIREWALL:active CMD:/workspace/bin/agent-leak-app-x86
[2026-09-10 16:43:58] PID:8117 PPID:8103 STATE:SN ELAPSED:00:07 THREADS:1 PROC_CPU:1.6% PROC_MEM:0.4% RSS:69436KB SYS_CPU:0.0% SYS_MEM:4.1% DISK_USED:1% PORT:15034 FIREWALL:active CMD:/workspace/bin/agent-leak-app-x86
[2026-09-10 16:43:59] PID:8117 PPID:8103 STATE:SN ELAPSED:00:08 THREADS:1 PROC_CPU:1.7% PROC_MEM:0.5% RSS:95040KB SYS_CPU:0.0% SYS_MEM:4.3% DISK_USED:1% PORT:15034 FIREWALL:active CMD:/workspace/bin/agent-leak-app-x86
[2026-09-10 16:44:00] PID:8117 PPID:8103 STATE:SN ELAPSED:00:09 THREADS:1 PROC_CPU:1.5% PROC_MEM:0.5% RSS:95040KB SYS_CPU:0.0% SYS_MEM:4.1% DISK_USED:1% PORT:15034 FIREWALL:active CMD:/workspace/bin/agent-leak-app-x86
[2026-09-10 16:44:02] PID:8117 PPID:8103 STATE:SN ELAPSED:00:11 THREADS:1 PROC_CPU:1.3% PROC_MEM:0.5% RSS:95040KB SYS_CPU:0.0% SYS_MEM:4.1% DISK_USED:1% PORT:15034 FIREWALL:active CMD:/workspace/bin/agent-leak-app-x86
[2026-09-10 16:44:03] PID:8117 PPID:8103 STATE:SN ELAPSED:00:12 THREADS:1 PROC_CPU:1.4% PROC_MEM:0.7% RSS:120644KB SYS_CPU:0.0% SYS_MEM:4.3% DISK_USED:1% PORT:15034 FIREWALL:active CMD:/workspace/bin/agent-leak-app-x86
[2026-09-10 16:44:04] PID:8117 PPID:8103 STATE:SN ELAPSED:00:13 THREADS:1 PROC_CPU:1.3% PROC_MEM:0.7% RSS:120644KB SYS_CPU:1.6% SYS_MEM:4.3% DISK_USED:1% PORT:15034 FIREWALL:active CMD:/workspace/bin/agent-leak-app-x86
[2026-09-10 16:44:05] PID:8117 PPID:8103 STATE:SN ELAPSED:00:14 THREADS:1 PROC_CPU:1.4% PROC_MEM:0.8% RSS:146248KB SYS_CPU:0.0% SYS_MEM:4.5% DISK_USED:1% PORT:15034 FIREWALL:active CMD:/workspace/bin/agent-leak-app-x86
